,0
0,11.793884991661182
1,11.769967901289897
2,11.770972732292318
3,11.771204473052693
4,11.783318947284467
5,11.792729083748235
6,11.804848531679264
7,11.781088269975635
8,11.834385581470938
9,11.851801951921106
10,11.833094088456308
11,11.81758264162797
12,11.810352401623796
13,11.854378135756683
14,11.793182540227962
15,11.845074082492276
16,11.859121698487892
17,11.862222257164982
18,11.891519422529832
19,11.881795742608837
20,11.907450953040007
21,11.925611108821622
22,11.919390073411476
23,11.918197221053761
24,11.933160951981844
25,11.908407575024992
26,11.98634824226162
27,11.884695896554296
28,11.952920815975215
29,11.936217393544002
30,12.02622203343639
31,11.943908860965244
32,11.942530187264873
33,11.951625458136816
34,11.922913661805977
35,11.989035412647725
36,11.939577862202796
37,11.972247245869104
38,11.954195201642865
39,11.975596022849171
40,11.970179411330465
41,11.979360233401412
42,11.967923318608884
43,11.96374627479919
44,11.962688120860186
45,11.995166411880442
46,12.01195377325658
47,11.991727772072311
48,11.990549981347325
49,12.021127650529506
50,12.060549640053273
51,12.046138607613848
52,12.060052159262547
53,12.121946194047384
54,12.110029697316643
55,12.054534383698908
56,12.108206201264052
57,12.035480034934732
58,12.031022587194938
59,12.000805848600999
60,12.029311600396865
61,12.019321291656833
62,12.005350837650694
63,11.936217393544002
64,11.91779039300636
65,11.944922144154148
66,11.953397291609926
67,12.030200248130399
68,11.96183313092123
69,11.995604668613309
70,11.991628643167479
71,11.986479035710923
72,11.974462100174584
73,11.985201510321629
74,11.948874513590571
75,11.945305105619274
76,11.972904010568875
77,11.976483365065901
78,12.021765118001163
79,11.950844855743112
80,11.98553818756979
81,12.007688777727763
82,12.003460622465955
83,12.00063393445941
84,12.005350837650694
85,12.003754482627366
86,12.038381539830365
87,12.090167844885563
88,12.093088700793311
89,12.110700963834645
90,12.120002643489892
91,12.103009488921032
92,12.086179259650367
93,12.092074936476683
94,12.107395303191423
95,12.104493859001055
96,12.105572521232709
97,12.125160810274657
98,12.156451636304558
99,12.109077046203975
100,12.112497958886017
101,12.110733965319715
102,12.15060750317892
103,12.258048207120517
104,12.031064282030444
